observat,dist_cod,county,district,testscr,read_scr,math_scr,str,avginc,meal_pct,enrl_tot,teachers,calw_pct,computer,comp_stu,expn_stu,el_pct
185,72090,Tulare,Rockford  Elementary,651.45,647,655.9,21.03896,9.63,58.2043,324,15.4,13.0031,50,0.154321,4276.115,2.469136
186,62638,Glenn,Plaza Elementary,651.8,654.2,649.4,20.74074,10.639,45.7143,140,6.75,7.8571,25,0.1785714,4566.27,10.71429
187,70813,Sonoma,Monte Rio Union Elementary,651.85,651.9,651.8,18.1,14.475,66.8508,181,10,25.4144,26,0.1436464,6049.495,0
188,64105,Lassen,Janesville Union Elementary,651.9,656.3,647.5,19.84615,13.467,24.8148,516,26,9.2593,65,0.125969,4974.281,1.937984
189,63172,Imperial,Magnolia Union Elementary,652,648.2,655.8,21.6,9.665,32.1101,108,5,3.6697,25,0.2314815,4432.478,4.62963
190,64188,Lassen,Shaffer Union Elementary,652.1,656.4,647.8,22.44242,12.708,50,419,18.67,13.9535,58,0.1384248,4924.619,5.250597
191,66506,Orange,Fullerton Elementary,652.1,651.6,652.6,23.01438,17.823,40.3995,12567,546.05,7.6231,1099,0.0874513,4603.66,27.54038
192,70649,Sonoma,Cinnabar Elementary,652.3,655.1,649.5,17.74892,17.156,31.0345,287,16.17,3.7931,65,0.2264808,5973.925,14.98258
193,69278,Santa Barbara,Santa Barbara Elementary,652.3,650.9,653.7,18.28664,19.58964,47.7025,6201,339.1,7.1796,634,0.1022416,5215.944,47.87938
194,63016,Humboldt,Rohnerville Elementary,652.35,657.2,647.5,19.26544,14.197,46.0504,577,29.95,20.3361,134,0.2322357,4882.237,0
195,71431,Sutter,Pleasant Grove Joint Union Elementary,652.4,660.3,644.5,22.66667,11.912,32.3529,170,7.5,10.5882,41,0.2411765,4145.836,1.764706
196,73700,Shasta,Mountain Union Elementary,652.4,655.2,649.6,19.29412,13.386,65.8537,164,8.5,33.5366,36,0.2195122,7542.038,0
197,63784,Kern,South Fork Union Elementary,652.5,653.1,651.9,17.36364,11.554,59.2138,382,22,29.2383,75,0.1963351,5247.018,0
198,68155,San Diego,Jamul-Dulzura Union Elementary,652.85,656.8,648.9,19.82143,19.026,25.3071,1221,61.6,4.3407,250,0.2047502,5169.815,7.289107
199,69765,Santa Cruz,Live Oak Elementary,653.1,656.1,650.1,20.43378,16.407,36.4499,2214,108.35,12.8726,213,0.096206,5951.006,17.028
200,67116,Riverside,Menifee Union Elementary,653.4,653.7,653.1,21.03721,14.058,29.1987,4523,215,5.7519,409,0.0904267,4746.572,10.43555
201,63552,Kern,Lakeside Union Elementary,653.5,652.4,654.6,19.92462,19.068,30.7692,793,39.8,4.4136,49,0.0617907,4944.092,2.269861
202,69724,Santa Clara,Whisman Elementary,653.55,655.6,651.5,19.00986,20.77,38.2002,1678,88.27,5.4827,254,0.1513707,6306.487,28.24791
203,63180,Imperial,McCabe Union Elementary,653.55,653.4,653.7,23.82222,10.264,28.1716,536,22.5,5.597,35,0.0652985,4260.307,8.768657
204,68551,San Joaquin,Lammersville Elementary,653.7,654.1,653.3,19.36909,14.578,28.6645,307,15.85,5.5375,36,0.1172638,4718.163,7.491857
205,71563,Tehama,Lassen View Union Elementary,653.8,655.5,652.1,19.82857,10.202,53.6023,347,17.5,18.4438,56,0.1613833,4751.3,9.798271
206,62927,Humboldt,Loleta Union Elementary,653.85,655.9,651.8,15.25885,12.502,63.6905,168,11.01,29.1667,30,0.1785714,5653.454,12.5
207,70045,Shasta,Junction Elementary,653.95,656.6,651.3,17.16129,13.906,29.6435,532,31,10.5066,81,0.1522556,5920.253,0
208,64931,Los Angeles,Rosemead Elementary,654.1,651.4,656.8,21.81333,9.986,76.7726,3272,150,24.022,374,0.1143032,4825.591,31.20415
209,66332,Nevada,Grass Valley Elementary,654.2,657.8,650.6,19.07471,13.712,40.9291,2045,107.21,12.1271,268,0.1310513,5532.582,1.369193
210,71829,Tulare,Buena Vista Elementary,654.2,659.8,648.6,25.78512,10.098,47.8528,156,6.05,10.4294,7,0.0448718,3926.07,9.615385
211,63545,Kern,Kernville Union Elementary,654.3,655.1,653.5,18.21261,11.291,62.2675,1129,61.99,34.1895,164,0.1452613,5805.637,0
212,67348,Sacramento,Galt Joint Union Elementary,654.6,652.7,656.5,18.16606,13.225,41.0546,3669,201.97,11.3589,500,0.1362769,4899.24,24.25729
213,67553,San Benito,Southside Elementary,654.85,654.2,655.5,16.97297,13.63,10.1266,157,9.25,1.8987,19,0.1210191,4884.862,9.55414
214,68189,San Diego,Lakeside Union Elementary,654.85,653.5,656.2,21.50087,14.623,25.8885,4928,229.2,8.542,618,0.1254058,5139.938,5.925324
215,71423,Sutter,Nuestro Elementary,654.9,662.2,647.6,20.6,8.776,23.301,103,5,5.8252,13,0.1262136,5249.365,0.9708738
216,61994,Fresno,Alvina Elementary,655.05,650,660.1,16.99029,10.338,70.2857,175,10.3,14.8571,17,0.0971429,5399.07,18.28571
217,61762,Contra Costa,Oakley Union Elementary,655.05,657.4,652.7,20.77954,16.323,23.4409,4153,199.86,7.5269,241,0.0580303,4965.29,4.984349
218,70268,Siskiyou,Etna Union Elementary,655.05,660.4,649.7,15.51247,10.65633,56.5217,280,18.05,8.6957,67,0.2392857,6210.323,4.285715
219,68544,San Joaquin,Jefferson Elementary,655.2,660.8,649.6,19.88506,14.578,12.5741,865,43.5,3.0842,96,0.1109827,4797.503,3.352601
220,69377,Santa Clara,Berryessa Union Elementary,655.3,655.4,655.2,21.39882,18.6306,21.3434,8735,408.2,7.4966,1120,0.1282198,5397.162,32.7075
221,63958,Kings,Kit Carson Union Elementary,655.35,653,657.7,20.49751,11.116,60.9223,412,20.1,8.7379,72,0.1747573,5078.5,9.46602
222,71290,Stanislaus,Sylvan Union Elementary,655.35,657.6,653.1,19.36376,14.59767,36.89,6373,329.12,12.6785,624,0.0979131,4733.747,6.260787
223,68635,San Joaquin,Oak View Union Elementary,655.4,653.2,657.6,17.65957,15.493,34.0361,332,18.8,9.0361,73,0.2198795,4963.06,13.25301
224,66787,Placer,Auburn Union Elementary,655.55,662,649.1,21.01796,16.272,34.4471,2903,138.12,11.1264,192,0.0661385,5431.177,3.169135
225,67504,San Benito,North County Joint Union Elementary,655.7,651.6,659.8,19.05565,13.63,36.6372,565,29.65,6.7257,60,0.1061947,5382.089,16.99115
226,61945,El Dorado,Pioneer Union Elementary,655.8,662,649.6,22.53846,12.394,37.884,586,26,7.5085,78,0.1331058,5724.442,0.8532423
227,67645,San Bernardino,Central Elementary,655.85,655.9,655.8,21.10787,15.331,34.2344,5068,240.1,7.0639,626,0.1235201,4843.427,6.649566
228,70094,Shasta,Pacheco Union Elementary,656.4,654.1,658.7,20.05135,12.666,40.163,859,42.84,16.4144,118,0.137369,5730.349,0.1164144
229,66316,Nevada,Chicago Park Elementary,656.5,657.8,655.2,14.20176,13.712,20,145,10.21,8.2759,20,0.137931,5635.786,0
230,68874,San Mateo,Brisbane Elementary,656.55,658.7,654.4,18.47687,17.78033,19.5686,649,35.125,3.8521,155,0.238829,5671.657,6.933744
231,63883,Kings,Central Union Elementary,656.65,655.4,657.9,18.63542,10.55667,56.0089,1789,96,2.9625,435,0.2431526,7070.633,9.558413
232,70011,Shasta,Happy Valley Union Elementary,656.7,661.5,651.9,20.94595,10.523,61.4194,775,37,24.9032,50,0.0645161,5097.343,0.9032258
233,61572,Calaveras,Mark Twain Union Elementary,656.8,663.4,650.2,21.08548,13.243,39.8487,777,36.85,12.9887,148,0.1904762,5482.677,1.158301
234,65458,Marin,San Rafael City Elementary,656.8,656.7,656.9,18.69288,22.473,49.4269,3518,188.2,9.7708,419,0.1191018,5642.832,40.10802
235,67991,San Diego,Cajon Valley Union Elementary,657,657.6,656.4,20.86808,15.68465,50.9708,19294,924.57,18.9319,2401,0.1244428,5280.023,16.66321
236,69393,Santa Clara,Campbell Union Elementary,657,657.3,656.7,19.82558,23.48375,32.1368,7661,386.42,7.8058,1158,0.1511552,5433.34,21.95536
237,71365,Sutter,Browns Elementary,657.15,661,653.3,19.75,11.649,25.3165,158,8,6.3291,34,0.2151899,4529.284,8.86076
238,66324,Nevada,Clear Creek Elementary,657.4,664.9,649.9,19.5,16.356,36.1345,117,6,8.4034,42,0.3589744,6039.986,0.8547009
239,63057,Humboldt,Trinidad Union Elementary,657.5,672.8,642.2,18.3908,14.074,36.7816,160,8.7,16.092,37,0.23125,6168.229,0
240,70722,Sonoma,Guerneville Elementary,657.55,664.2,650.9,18.78676,13.437,51.8519,511,27.2,27.4854,30,0.0587084,5774.97,3.913894
241,69013,San Mateo,San Bruno Park Elementary,657.65,659.7,655.6,19.77018,18.338,25.5596,2770,140.11,3.6101,296,0.1068592,4806.762,11.94946
242,71472,Tehama,Antelope Elementary,657.75,660.2,655.3,19.33333,11.426,51.5625,551,28.5,15.2344,46,0.0834846,4840.936,3.99274
243,66472,Orange,Centralia Elementary,657.8,655.1,660.5,21.46392,15.74992,37.2911,5205,242.5,8.3189,474,0.0910663,4954.466,22.93948
244,67702,San Bernardino,Etiwanda Elementary,657.9,658.5,657.3,23.08492,15.779,17.1508,6437,278.84,2.5167,622,0.0966289,4023.532,2.48563
245,65169,Los Angeles,Wiseburn Elementary,658,657,659,21.06299,14.062,32.6519,1712,81.28,5.3738,122,0.0712617,5179.411,9.871495
246,63024,Humboldt,Scotia Union Elementary,658.35,664,652.7,18.68687,12.174,36.3144,370,19.8,6.5041,56,0.1513513,4385.229,0.5405406
247,67785,San Bernardino,Mountain View Elementary,658.6,654.7,662.5,20.77024,12.9,26.9433,3182,153.2,3.5305,328,0.1030798,4777.513,8.956632
248,68791,San Luis Obispo,Pleasant Valley Joint Union Elementary,658.8,661.3,656.3,19.30556,10.971,29.4964,139,7.2,0.7194,32,0.2302158,4862.791,6.47482
249,69625,Santa Clara,Oak Grove Elementary,659.05,654.9,663.2,20.1328,17.4352,32.7655,11855,588.84,9.0158,1507,0.1271194,5486.03,20.72543
250,61960,El Dorado,Pollock Pines Elementary,659.15,662.1,656.2,20.66964,14.76,36.7978,1068,51.67,12.8277,129,0.1207865,5486.382,0.1872659
251,64345,Los Angeles,Castaic Union Elementary,659.35,658.3,660.4,22.28155,14.603,31.3709,2295,103,4.0395,224,0.0976035,4631.244,13.98693
252,63255,Inyo,Bishop Union Elementary,659.4,662.8,656,20.60027,13.52233,37.1086,1510,73.3,10.2598,141,0.0933775,5189.628,8.741721
253,69138,Santa Barbara,Buellton Union Elementary,659.4,660,658.8,20.82734,16.669,31.5,579,27.8,1.5,60,0.1036269,4600.606,20.03454
254,75135,Madera,Chawanakee Jt. Elementary,659.8,660.8,658.8,19.22492,13.52225,33.6301,1012,52.64,10.4847,140,0.1383399,6735.775,1.383399
255,70508,Siskiyou,Yreka Union Elementary,659.9,660.4,659.4,17.65477,12.518,47.1247,1212,68.65,18.2972,107,0.0882838,5475.173,2.062706
256,70599,Sonoma,Alexander Valley Union Elementary,660.05,661.7,658.4,17,18.326,33.6,119,7,4,23,0.1932773,5990.794,28.57143
257,66415,Nevada,Twin Ridges Elementary,660.1,673.1,647.1,16.49773,11.466,30.678,590,35.7625,7.7966,78,0.1322034,7203.247,0.1694915
258,72173,Tulare,Sundale Union Elementary,660.2,659.8,660.6,19.78261,10.098,54.7619,546,27.6,13.9194,60,0.1098901,4777.769,13.73626
259,72207,Tulare,Three Rivers Union Elementary,660.3,667.8,652.8,22.30216,15.365,21.2687,248,11.12,7.4627,51,0.2056452,4302.835,0
260,72348,Tuolumne,Columbia Union Elementary,660.75,666.9,654.6,17.73077,10.31133,48.8121,461,26,14.4708,150,0.3253796,5630.195,0.2169197
261,65102,Los Angeles,Westside Union Elementary,660.95,662.1,659.8,20.44836,16.98663,22.693,6312,308.68,9.8379,496,0.0785805,4708.625,3.121039
262,65649,Merced,Ballico-Cressey Elementary,661.35,661.1,661.6,20.37169,9.612,66.2069,285,13.99,7.2414,62,0.2175439,5629.961,47.36842
263,68973,San Mateo,Millbrae Elementary,661.45,662,660.9,20.16479,21.1105,15.6559,2325,115.3,2.8817,302,0.1298925,4890.987,22.70968
264,69435,Santa Clara,Evergreen Elementary,661.6,659.1,664.1,21.61538,16.47331,30.4417,11885,549.84,10.1977,1790,0.15061,4929.393,29.12074
265,70730,Sonoma,Harmony Union Elementary,661.6,672.4,650.8,20.56143,18.369,21.3793,564,27.43,6.8966,46,0.0815603,4905.221,4.432624
266,63362,Kern,Panama Buena Vista Union Elementary,661.85,660.1,663.6,19.95551,16.65411,31.0189,12380,620.38,12.2952,1671,0.1349758,5156.857,4.814217
267,68932,San Mateo,Laguna Salada Union Elementary,661.85,665.4,658.3,21.18387,18.54422,18.3878,3772,178.06,3.372,529,0.1402439,4941.788,5.249205
268,72371,Tuolumne,Sonora Elementary,661.85,662.7,661,18.81042,14.18,42.4468,895,47.58,17.5532,70,0.0782123,5408.782,1.899441
269,66910,Placer,Roseville City Elementary,661.9,664.3,659.5,20.57838,18.02955,30.0691,5714,277.67,10.5343,489,0.0855793,4981.388,8.662933
270,71084,Stanislaus,Gratton Elementary,661.9,662.5,661.3,18.32461,13.586,0,105,5.73,0,16,0.152381,4877.086,10.47619
271,64196,Lassen,Susanville Elementary,661.95,660.4,663.5,18.82063,12.64,42.6009,1449,76.99,16.5279,125,0.0862664,5111.739,1.242236
272,69872,Shasta,Bella Vista Elementary,662.4,663.1,661.7,20.81633,11.103,45.8824,510,24.5,20.3922,95,0.1862745,5201.516,0
273,71852,Tulare,Columbine Elementary,662.4,651.4,673.4,20,7.5,56.875,160,8,11.25,39,0.24375,4138.306,9.375
274,64626,Los Angeles,Hughes-Elizabeth Lakes Union Elementary,662.45,665.4,659.5,19.68182,15.506,25.1037,433,22,9.3361,50,0.1154734,5743.597,1.385681
275,69591,Santa Clara,Mountain View Elementary,662.5,663.5,661.5,19.39018,22.8414,44.3907,3186,164.31,5.4539,411,0.1290019,5702.705,35.34212
276,65045,Los Angeles,Sulphur Springs Union Elementary,662.55,661.7,663.4,20.92732,19.82313,27.3545,5010,239.4,5.2989,576,0.1149701,4802.153,9.640718
277,70680,Sonoma,Forestville Union Elementary,662.55,669.4,655.7,19.94437,16.347,24.7222,717,35.95,8.8889,100,0.13947,5442.143,2.23152
278,63750,Kern,Rosedale Union Elementary,662.65,658.3,667,20.79109,16.293,14.8509,3548,170.65,3.26,335,0.0944194,4522.375,0.3664036
279,69948,Shasta,Columbia Elementary,662.7,662.4,663,19.20354,13.248,29.8387,868,45.2,16.5899,78,0.0898618,4965.808,0.5760369
280,66795,Placer,Colfax Elementary,662.75,667.1,658.4,19.02439,14.01,37.0874,507,26.65,13.2039,60,0.1183432,5358.326,0
281,70425,Siskiyou,Mt. Shasta Union Elementary,662.9,668.3,657.5,17.62058,14.163,25.6055,822,46.65,8.0738,105,0.1277372,5784.625,0.8515815
282,70870,Sonoma,Piner-Olivet Union Elementary,663.35,667.4,659.3,20.23715,15.771,20.9263,1792,88.55,3.125,143,0.0797991,5072.705,5.524554
283,65185,Madera,Bass Lake Joint Elementary,663.45,664.3,662.6,19.29374,14.48333,35.8462,1202,62.3,12.0769,190,0.1580699,5556.041,0
284,62745,Humboldt,Cutten Elementary,663.5,660.2,666.8,18.82998,14.209,26.2136,515,27.35,16.1165,58,0.1126214,5190.31,0
285,61952,El Dorado,Placerville Union Elementary,663.85,666.4,661.3,20.33949,15.167,36.4845,1354,66.57,12.0384,263,0.1942393,5211.485,2.437223
286,71035,Sonoma,Wright Elementary,663.85,659.4,668.3,19.229,12.58425,43.2165,1252,65.11,9.4512,113,0.0902556,5284.164,20.76677
287,71522,Tehama,Evergreen Union Elementary,663.9,657.7,670.1,17.8913,10.551,55.2855,823,46,13.8518,127,0.1543135,5331.921,2.18712
288,70847,Sonoma,Old Adobe Union Elementary,664,666.2,661.8,19.51881,16.956,13.3692,2231,114.3,2.9161,258,0.1156432,5599.608,13.62618
289,71019,Sonoma,Wilmar Union Elementary,664,668.7,659.3,19.08451,17.709,25.4296,271,14.2,4.4674,81,0.298893,4881.899,13.28413
290,66761,Placer,Ackerman Elementary,664.15,671.3,657,19.93548,16.272,32.6861,309,15.5,4.2071,85,0.2750809,4700.432,1.941748
291,69815,Santa Cruz,Santa Cruz City Elementary,664.15,666.7,661.6,18.87326,17.9008,33.8103,3005,159.22,8.619,308,0.1024958,5650,23.06157
292,62679,Humboldt,Arcata Elementary,664.3,674,654.6,20.14178,11.834,47.3054,966,47.96,20.9581,114,0.1180124,5318.241,0.621118
293,67595,San Bernardino,Alta Loma Elementary,664.4,663.4,665.4,23.55637,18.6202,15.9299,7710,327.3,4.4722,814,0.1055772,4709.054,3.255512
294,66837,Placer,Foresthill Union Elementary,664.45,663.1,665.8,21.46479,12.431,30.3732,762,35.5,10.8108,54,0.0708661,5143.19,0
295,61929,El Dorado,Mother Lode Union Elementary,664.7,665.5,663.9,19.19101,15.167,29.0398,1708,89,8.4895,206,0.1206089,5133.01,2.224824
296,66613,Orange,Ocean View Elementary,664.75,663.7,665.8,20.1308,20.87575,30.6437,9850,489.3,3.335,1113,0.1129949,5081.456,18.55838
297,62596,Glenn,Lake Elementary,664.95,667.6,662.3,25.8,10.639,50.3876,129,5,9.3023,10,0.0775194,4016.416,6.20155
298,69039,San Mateo,San Mateo-Foster City Elementary,664.95,665.9,664,18.77774,25.02962,28.3766,10619,565.51,2.5384,1150,0.1082964,5374.05,18.45748
299,69195,Santa Barbara,Goleta Union Elementary,665.1,666.8,663.4,19.10982,16.7578,31.0828,4521,236.58,3.7052,494,0.1092679,5427.549,32.07255
300,67736,San Bernardino,Helendale Elementary,665.2,656.2,674.2,19.70109,15.297,30.1724,580,29.44,11.8966,114,0.1965517,5179.645,3.965517
301,70854,Sonoma,Petaluma City Elementary,665.35,669.8,660.9,18.61594,17.36945,24.7471,2569,138,5.4864,326,0.1268976,5400,15.33671
302,69690,Santa Clara,Sunnyvale Elementary,665.65,663.9,667.4,20.99721,22.096,36.0007,6022,286.8,6.395,756,0.1255397,5726.146,27.66523
303,69179,Santa Barbara,College Elementary,665.9,670.3,661.5,20,22.842,13.8696,670,33.5,0.4161,47,0.0701493,5003.87,12.53731
304,68197,San Diego,La Mesa-Spring Valley,665.95,664.5,667.4,20.98325,18.31988,45.7234,14708,700.94,13.5301,1962,0.1333968,4969.511,12.68017
305,66530,Orange,Huntington Beach City Elementary,666,668,664,21.64262,25.03,15.0886,6601,305,1.1968,706,0.1069535,4747.296,6.908044
306,69336,Santa Barbara,Solvang Elementary,666.05,668.7,663.4,20.02967,21.957,31.8519,675,33.7,0,87,0.1288889,4543.305,14.96296
307,69849,Santa Cruz,Soquel Elementary,666.1,666.9,665.3,19.8114,18.79683,24.6035,2458,124.07,6.0187,193,0.0785191,5229.591,11.26933
308,62554,Glenn,Capay Joint Union Elementary,666.15,671.9,660.4,18,10.639,44.4444,144,8,4.1667,14,0.0972222,4507.353,9.722222
309,70714,Sonoma,Gravenstein Union Elementary,666.15,671,661.3,19.35811,17.508,15.2098,573,29.6,6.993,48,0.0837696,5302.628,3.315881
310,66381,Nevada,Pleasant Valley Elementary,666.45,668.8,664.1,20.17912,18.593,18.4941,721,35.73,1.8494,82,0.1137309,5545.61,0.6934813
311,63990,Kings,Pioneer Union Elementary,666.55,671.2,661.9,21.11986,11.116,22.8831,992,46.97,3.7298,160,0.1612903,4615.909,5.141129
312,68361,San Diego,Santee Elementary,666.6,663.7,669.5,23.38974,14.09767,22.9839,8432,360.5,6.3923,0,0,5397.689,4.969165
313,64113,Lassen,Johnstonville Elementary,666.65,672.1,661.2,22.18182,12.64,40.1639,244,11,15.5738,15,0.0614754,5118.373,6.967213
314,72553,Ventura,Pleasant Valley Elementary,666.65,667.5,665.8,19.94283,20.93643,13.2762,7116,356.82,2.599,785,0.1103148,5008.071,7.996065
315,72355,Tuolumne,Curtis Creek Elementary,666.7,662.1,671.3,17.78826,14.18,32.6087,830,46.66,10.4119,95,0.1144578,4906.03,0.4819277
316,70300,Siskiyou,Fort Jones Union Elementary,666.85,666.9,666.8,14.70588,11.826,53.5032,160,10.88,13.3758,38,0.2375,6870.346,2.5
317,70805,Sonoma,Mark West Union Elementary,666.85,671.3,662.4,19.04077,18.671,20.581,1588,83.4,6.7985,220,0.138539,5301.716,3.84131
318,67967,San Diego,Alpine Union Elementary,667.15,667.7,666.6,20.89195,17.332,16.0651,2272,108.75,4.0493,307,0.1351232,5182.366,1.320423
319,70938,Sonoma,Sebastopol Union Elementary,667.2,669.8,664.6,19.83851,17.508,19.8302,1425,71.83,5.0926,65,0.045614,4999.469,4.912281
320,62828,Humboldt,Freshwater Elementary,667.45,672.2,662.7,19.52191,15.572,13.0612,245,12.55,8.9796,30,0.122449,6732.066,0
321,63693,Kern,Norris Elementary,667.45,667,667.9,20.68622,15.56725,8.6731,1349,65.2125,2.0015,259,0.1919941,4612.99,0.222387
322,72132,Tulare,Springville Union Elementary,667.6,669.2,666,18.18182,15.752,29.8643,400,22,13.8009,65,0.1625,5478.846,0
323,69575,Santa Clara,Moreland Elementary,668,669.4,666.6,18.89224,20.47,23.642,4632,245.18,7.037,637,0.1375216,5666.714,17.85406
324,63610,Kern,Maple Elementary,668.1,660.5,675.7,24.88889,9.709,35.2679,224,9,5.3571,15,0.0669643,4742.514,4.464286
325,63941,Kings,Kings River-Hardwick Union Elementary,668.4,665.8,671,18.58064,11.116,28.125,576,31,3.9931,92,0.1597222,4907.393,9.548612
326,68163,San Diego,Julian Union Elementary,668.6,672.7,664.5,18.04,16.321,11.7517,451,25,8.6475,75,0.1662971,5700.402,3.991131
327,68007,San Diego,Cardiff Elementary,668.65,668.8,668.5,17.73399,21.967,24.3363,900,50.75,2.1018,145,0.1611111,5191.834,20.66667
328,72108,Tulare,Saucelito Elementary,668.8,668.5,669.1,21.45455,8.934,51.6667,118,5.5,8.3333,10,0.0847458,4451.257,7.627119
329,67975,San Diego,Bonsall Union Elementary,668.9,666.2,671.6,19.92343,19.997,42.964,1457,73.13,5.9823,0,0,5627.528,27.45367
330,66480,Orange,Cypress Elementary,668.95,665.5,672.4,20.33942,18.82723,19.3725,4734,232.75,2.6078,586,0.1237854,4922.94,10.85763
331,64766,Los Angeles,Lowell Joint Elementary,669.1,666.1,672.1,22.54608,18.11867,16.9543,3303,146.5,4.6624,379,0.1147442,4969.381,5.025734
332,64832,Los Angeles,Newhall Elementary,669.3,668.9,669.7,21.10344,23.66738,30.0851,6055,286.92,5.6134,540,0.0891825,4829.717,14.23617
333,65359,Marin,Lagunitas Elementary,669.3,680.9,657.7,18.19743,22.139,15.3302,424,23.3,3.5377,39,0.0919811,6716.693,0.2358491
334,69385,Santa Clara,Cambrian Elementary,669.35,673.3,665.4,20.10768,20.546,23.0989,2801,139.3,5.0339,615,0.2195644,5205.942,2.070689
335,71654,Tehama,Richfield Elementary,669.35,664.6,674.1,19.15984,9.485,44.6809,187,9.76,17.5532,37,0.197861,4357.826,8.556149
336,62794,Humboldt,Fieldbrook Elementary,669.8,670.1,669.5,19.54545,11.834,27.1318,129,6.6,13.9535,17,0.1317829,5195.919,0
337,68049,San Diego,Dehesa Elementary,669.85,673.2,666.5,20.88889,18.799,36.7021,188,9,6.383,41,0.2180851,6002.072,4.787234
338,69955,Shasta,Cottonwood Union Elementary,669.95,669.2,670.7,18.3915,10.551,46.1221,1212,65.9,22.1947,116,0.0957096,5090.588,3.960396
339,63479,Kern,Fruitvale Elementary,670,669.2,670.8,19.1799,15.519,19.53,2596,135.35,3.0046,249,0.0959168,5112.39,1.579353
340,69708,Santa Clara,Union Elementary,670.7,672.8,668.6,19.39771,21.63173,12.1748,4925,253.896,3.8211,753,0.1528934,5287.355,3.593909
341,66498,Orange,Fountain Valley Elementary,671.25,671.2,671.3,21.67827,21.09575,15.5128,6257,288.63,2.1635,930,0.1486335,4889.48,8.726227
342,61879,El Dorado,Gold Oak Union Elementary,671.3,674.6,668,19.28889,15.167,19.0092,868,45,4.7235,122,0.140553,5118.13,0
343,61838,El Dorado,Buckeye Union Elementary,671.6,674.9,668.3,20.34927,19.117,8.3443,3787,186.1,3.248,934,0.2466332,5119.123,0.2640613
344,75085,Placer,Rocklin Unified,671.6,671.4,671.8,20.96416,17.62,14.266,6423,306.38,2.9299,855,0.1331154,4792.211,1.447922
345,61887,El Dorado,Gold Trail Union Elementary,671.65,677.6,665.7,19.46039,15.167,15.9292,678,34.84,2.5074,47,0.0693215,5450.104,0.1474926
346,62885,Humboldt,Hydesville Elementary,671.7,679.8,663.6,19.28572,10.643,33.9181,162,8.4,16.9591,23,0.1419753,5210.725,0
347,64998,Los Angeles,Saugus Union Elementary,671.75,668.9,674.6,20.91979,20.73906,11.7013,8529,407.7,2.1925,834,0.097784,4715.446,3.705006
348,66845,Placer,Loomis Union Elementary,671.9,673.1,670.7,20.90021,21.566,21.0892,1862,89.09,2.8297,231,0.1240602,4632.068,0.2685285
349,66886,Placer,Placer Hills Union Elementary,671.9,679.6,664.2,20.59575,17.656,10.4142,1452,70.5,2.426,183,0.1260331,5028.562,0
350,70672,Sonoma,Dunham Elementary,671.95,672.3,671.6,19.375,17.709,12.2581,155,8,0.6452,32,0.2064516,5695.467,4.516129
351,69021,San Mateo,San Carlos Elementary,672.05,676.1,668,19.95122,27.816,2.0328,2536,127.11,2.0328,343,0.1352524,4504.295,2.444795
352,66399,Nevada,Ready Springs Union Elementary,672.05,673.9,670.2,18.84973,18.593,29.021,567,30.08,4.8951,103,0.1816579,5156.437,0
353,65219,Madera,Coarsegold Union Elementary,672.3,668.1,676.5,18.11787,14.263,33.9212,953,52.6,7.9876,135,0.1416579,5433.514,0
354,68726,San Luis Obispo,Cayucos Elementary,672.35,674.6,670.1,19.18341,22.758,25.9868,296,15.43,5.5921,42,0.1418919,5254.632,5.405406
355,64170,Lassen,Richmond Elementary,672.45,672.7,672.2,22,12.64,12.7451,198,9,2.451,24,0.1212121,4593.197,0
356,62109,Fresno,Clay Joint Elementary,672.55,669.4,675.7,21.58416,11.238,25.1121,218,10.1,2.2422,49,0.2247706,4320.679,6.422018
357,70995,Sonoma,Waugh Elementary,672.7,676.1,669.3,20.38889,16.956,12.8205,734,36,2.0243,117,0.1594005,4920.777,6.539509
358,70979,Sonoma,Two Rock Union Elementary,673.05,679.1,667,16.2931,17.709,32.1244,189,11.6,2.0725,50,0.2645503,6905.869,14.28572
359,68866,San Mateo,Belmont-Redwood Shores Elementary,673.25,675,671.5,18.27778,25.622,2.4456,2528,138.31,1.3421,482,0.1906646,5729.904,3.678797
360,61978,El Dorado,Rescue Union Elementary,673.3,676.1,670.5,19.37472,18.726,11.1818,2987,154.17,2.0422,290,0.0970874,4825.202,0.5021761
361,66779,Placer,Alta-Dutch Flat Union Elementary,673.55,680.5,666.6,18.90909,13.443,32.8638,208,11,9.3897,21,0.1009615,5388.17,0
362,68353,San Diego,San Pasqual Union Elementary,673.55,670.5,676.6,16.40693,15.18,22.1636,379,23.1,2.9024,29,0.0765171,5133.827,22.69129
363,61911,El Dorado,Latrobe Elementary,673.9,670.5,677.3,15.5914,19.117,0,145,9.3,6.2069,27,0.1862069,5346.156,0
364,66407,Nevada,Union Hill Elementary,674.25,676,672.5,18.70694,13.712,23.0548,706,37.74,2.5937,103,0.1458924,4789.309,0.1416431
365,70961,Sonoma,Twin Hills Union Elementary,675.4,681,669.8,18.32985,17.508,15.75,878,47.9,1.375,105,0.11959,5329.782,2.733485
366,62976,Humboldt,Pacific Union Elementary,675.7,683,668.4,17.90235,11.834,25.3782,594,33.18,12.2689,75,0.1262626,5371.173,1.683502
367,71696,Trinity,Douglas City Elementary,676.15,680.1,672.2,18.91157,13.273,66.9065,139,7.35,20.8633,40,0.2877698,5771.384,0
